A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	mandatory	obligatory	voluntary	optional	mandated	standard	forbidden	universal	required	essential
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	impressed	infused	captured	reinforced	brought	promoted	cultivated	blessed	created	coated
War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	freaks	monsters	minions	zombies	masters	killers	thugs	machines	personalities	bosses
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	monitors	experts	diplomats	witnesses	scientists	spectators	activists	journalists	reporters	specialists
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	skin	raw	bone	cut	burn	bullet	bloody	knife	bleeding	blood
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	masked	dressed	clothed	clad	concealed	dressing	wrapped	posing	armed	identified
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	affiliate	subset	aggregation	isolate	antagonist	associate	extension	ally	adjunct	imitation
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	orchestral	symphony	operatic	choral	classical	melodic	creative	musical	lyric	instrumental
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	deployment	employ	launch	install	utilize	dispatch	use	adopt	deliver	move
 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	officials	police	governments	magistrates	government	prosecutors	officers	agencies	investigators	administration
