A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	mandatory	obligatory	optional	voluntary	requirement	mandated	routine	necessary	customary	involuntary
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	implanted	bolstered	intoxicated	infused	illed	pumped	injected	inst	undermined	supplied
War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	jihadists	fascists	monsters	thugs	extremists	idiots	villains	killers	murderers	igans
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	monitors	investigators	inspectors	spectators	activists	reporters	witnesses	journalists	participants	observes
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	rapnel	crippling	stun	stab	bullet	insurgent	shell	bullets	bomb	blast
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	dressed	masked	clothed	concealed	clad	posing	hidden	wrapped	covered	draped
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	affiliate	extension	branch	adjunct	outside	archetype	independent	offspring	echo	opposite
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	instrumental	harmonic	musical	lyric	dramatic	concert	classical	composition	vocal	music
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	deployment	install	recruit	dispatch	employ	activate	operate	send	adopt	reserve
 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	officials	regulators	agencies	police	administrators	investigators	prosecutors	courts	officers	forces
